Age,M,F
0-4,18186588,17720903
5-9,15990598,15561303
10-14,14365206,13879771
15-19,12392441,11933175
20-24,10266501,9906705
25-29,8408160,8169115
30-34,7010193,6840646
35-39,6023469,5916015
40-44,5255903,5167756
45-49,4267099,4210892
50-54,3267954,3263587
55-59,2543462,2586131
60-64,1955318,2033555
65-69,1408470,1502281
70-74,911885,992013
75-79,548175,597344
80-84,244564,277905
85-89,73157,91343
90-94,12603,18955
95-99,1094,2206
100+,46,135
