Age,M,F
0-4,15352709,14663190
5-9,14757654,14129228
10-14,14343933,13674670
15-19,13075927,12390403
20-24,11810299,11369393
25-29,10023157,9887720
30-34,8675689,8657330
35-39,7201105,7268064
40-44,5859710,5910036
45-49,4804336,4821004
50-54,4067793,4105173
55-59,3531530,3627057
60-64,2924687,3100645
65-69,2119426,2341882
70-74,1321363,1547743
75-79,834409,1006049
80-84,402753,507475
85-89,126364,177619
90-94,22555,40049
95-99,1207,4237
100+,5,69
